ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
23035,PHLPP2,-0.126077809,8.508823749,-0.709280632,0.479721103,0.661142463,-6.372169928
54805,CNNM2,0.100919927,8.751685426,0.709138169,0.47980913,0.66116843,-6.372269667
399716,LINC02656,-0.295342802,6.332095395,-0.709106139,0.479828921,0.66116843,-6.372292088
728613,LOC728613,0.329978194,11.66512808,0.709103426,0.479830598,0.66116843,-6.372293988
2957,GTF2A1,0.191471979,10.87821982,0.708933002,0.479935916,0.661271904,-6.372413269
286753,TRARG1,0.248543506,4.727363609,0.708883635,0.479966425,0.661272299,-6.372447816
101929694,LINC02042,0.232181179,5.63327213,0.708779244,0.480030945,0.661287955,-6.372520862
1390,CREM,-0.134323683,9.849737652,-0.708718082,0.480068749,0.661287955,-6.372563654
2515,ADAM2,0.369048159,4.761119022,0.708710149,0.480073652,0.661287955,-6.372569204
124783,SPATA32,0.170468014,8.177522563,0.708669655,0.480098682,0.661287955,-6.372597533
154092,LINC01010,0.189203288,3.94919655,0.708444234,0.480238032,0.66142959,-6.372755207
100507443,LOC100507443,0.251072973,4.886723811,0.708405514,0.48026197,0.66142959,-6.372782285
101927003,PKIA-AS1,0.341681102,3.44937603,0.708271162,0.480345036,0.661477781,-6.37287623
644450 /// 101928669 /// 101930100,,-0.292967262,5.511477618,-0.708251124,0.480357425,0.661477781,-6.37289024
23268,DNMBP,-0.159865077,9.897048712,-0.708135331,0.480429025,0.661534743,-6.372971192
23519,ANP32D,-0.255211256,5.661674418,-0.707937753,0.480551208,0.661661345,-6.373109289
84278,MFSD14C,0.190320953,8.032763751,0.707639292,0.48073581,0.661873791,-6.373317827
121256,TMEM132D,-0.188907069,6.046975232,-0.707590482,0.480766003,0.661873791,-6.373351923
5771,PTPN2,-0.115738713,11.59658354,-0.707431506,0.480864351,0.661888855,-6.373462957
2587,GALR1,0.18298842,2.886571835,0.707426458,0.480867475,0.661888855,-6.373466483
10473,HMGN4,-0.151098727,12.38633955,-0.707396734,0.480885865,0.661888855,-6.373487241
23512,SUZ12,-0.097542021,11.89735174,-0.707377202,0.480897949,0.661888855,-6.37350088
400756,,0.174930833,6.748889045,0.707315103,0.48093637,0.661900099,-6.373544242
9689,BZW1,0.180008628,12.14855619,0.707255915,0.480972991,0.661908865,-6.373585568
8694,DGAT1,-0.14851107,8.839760565,-0.706934193,0.48117208,0.662141201,-6.373810141
101927586,LINC01271,0.218094822,6.092432617,0.70651912,0.481429001,0.662453088,-6.374099725
53822,FXYD7,0.265332223,4.607847298,0.706207124,0.481622171,0.662658975,-6.374317285
338661,TMEM225,-0.203677328,4.374175842,-0.706135555,0.481666488,0.662658975,-6.374367178
